PM2.5,PM1.0,PM10,CO2,HCHO,TVOC,TEMP,HUMD,FAP
5,27,6,571,0.03,0.02,19.3,98.5,0
4,27,5,541,0.03,0.02,19.76,98.5,0
7,27,8,526,0.03,0.02,20.14,98.5,0
5,27,6,520,0.02,0.02,20.55,98.5,0
6,27,7,518,0.02,0.02,20.84,98.5,0
5,27,6,517,0.02,0.02,21.04,98.5,0
3,27,4,516,0.02,0.02,21.47,97.7,0
5,27,6,514,0.02,0.02,21.75,93.81,0
6,27,7,513,0.02,0.02,21.87,94.91,0
4,27,5,513,0.02,0.02,22.06,92.94,0
4,27,5,516,0.02,0.02,22.26,93.37,0
5,27,6,517,0.02,0.02,22.37,93.01,0
4,27,5,518,0.02,0.02,22.51,92.16,0
4,27,5,519,0.02,0.02,22.67,91.69,0
5,27,6,519,0.02,0.02,22.75,91.07,0
3,27,4,519,0.02,0.02,22.84,91.16,0
3,27,4,519,0.02,0.02,22.95,90.97,0
3,27,4,519,0.02,0.02,23.04,90.02,0
3,27,4,519,0.02,0.02,23.04,89.83,0
4,27,5,519,0.02,0.02,23.11,89.93,0
3,27,4,515,0.02,0.02,23.19,89.46,0
4,27,5,513,0.02,0.02,23.3,89.07,0
4,27,5,514,0.02,0.02,23.37,88.85,0
3,27,4,514,0.02,0.02,23.4,88.11,0
3,27,4,514,0.02,0.02,23.44,88.12,0
4,27,5,515,0.02,0.02,23.5,88,0
4,27,5,515,0.02,0.02,23.56,87.5,0
3,27,4,515,0.02,0.02,23.57,87.75,0
3,27,4,512,0.02,0.02,23.64,87.82,0
5,27,6,512,0.02,0.02,23.64,87.39,0
5,27,6,512,0.01,0.02,23.63,87.11,0
4,27,5,512,0.02,0.02,23.67,87.34,0
2,27,3,515,0.02,0.02,23.7,86.77,0
5,27,6,515,0.02,0.02,23.68,86.18,0
4,27,5,515,0.02,0.02,23.74,85.68,0
3,27,4,515,0.02,0.02,23.78,86.43,0
2,27,3,516,0.02,0.02,23.89,85.67,0
3,27,4,517,0.02,0.02,23.85,85.29,0
3,27,4,519,0.02,0.02,23.84,85.41,0
4,27,5,519,0.02,0.02,23.88,85.7,0
3,27,4,519,0.02,0.02,23.88,85.35,0
16,27,17,854,0.03,0.2,26.21,65.34,0
17,27,18,845,0.03,0.19,26.09,66.25,0
14,27,15,848,0.03,0.2,25.99,67.22,0
14,27,15,864,0.02,0.19,25.91,66.58,0
18,27,19,854,0.02,0.19,25.88,66.05,0
17,27,18,847,0.02,0.19,25.75,65.91,0
15,27,16,836,0.02,0.18,25.67,66.26,0
16,27,17,825,0.02,0.18,25.67,66.4,0
19,27,20,821,0.02,0.17,25.6,66.53,0
16,27,17,812,0.02,0.17,25.51,66.53,0
16,27,17,803,0.02,0.17,25.44,66.52,0
14,27,15,799,0.02,0.16,25.43,66.8,0
13,27,14,799,0.02,0.17,25.36,66.68,0
15,27,16,797,0.02,0.16,25.29,66.53,0
17,27,18,797,0.01,0.16,25.25,66.47,0
15,27,16,795,0.02,0.16,25.18,66.7,0
14,27,15,791,0.02,0.16,25.1,66.97,0
14,27,15,789,0.02,0.16,25.08,67.24,0
15,27,16,789,0.02,0.16,25.03,67.31,0
17,27,18,789,0.02,0.16,24.99,67.53,0
14,27,15,788,0.01,0.16,24.95,67.49,0
16,27,17,787,0.01,0.16,24.95,67.38,0
16,27,17,789,0.01,0.17,24.91,67.26,0
14,27,15,791,0.01,0.17,24.85,66.99,0
16,27,17,794,0.01,0.17,24.81,67.01,0
15,27,16,806,0.01,0.16,24.75,67.43,0
16,27,17,810,0.01,0.16,24.72,67.65,0
18,27,19,815,0.01,0.16,24.69,67.85,0
15,27,16,816,0.01,0.16,24.67,67.8,0
18,27,19,818,0.01,0.16,24.64,67.88,0
17,27,18,821,0.02,0.16,24.65,68.24,0
17,27,18,824,0.01,0.16,24.63,68.56,0
16,27,17,828,0.02,0.16,24.57,68.84,0
16,27,17,833,0.01,0.16,24.56,69.23,0
13,27,14,838,0.01,0.16,24.51,69.06,0
13,27,14,847,0.01,0.16,24.51,68.52,0
15,27,16,869,0.01,0.17,24.5,67.78,0
15,27,16,888,0.01,0.17,24.5,67.34,0
15,27,16,909,0.01,0.18,24.43,67.12,0
16,27,17,921,0.01,0.18,24.47,67.02,0
17,27,18,943,0.01,0.19,24.42,66.69,0
13,27,14,964,0.01,0.2,24.4,66.08,0
15,27,16,978,0.01,0.19,24.37,65.72,0
15,27,16,991,0.01,0.2,24.34,65.23,0
16,27,17,999,0.01,0.2,24.34,64.95,0
15,27,16,1007,0.01,0.2,24.32,64.56,1
13,27,14,1021,0.01,0.2,24.27,64.21,1
12,27,13,1035,0.01,0.2,24.27,63.92,1
16,27,17,1046,0.01,0.2,24.22,63.68,1
14,27,15,1063,0.01,0.2,24.2,63.58,1
14,27,15,1073,0.01,0.21,24.19,63.4,1
15,27,16,1084,0.02,0.21,24.13,63.26,1
15,27,16,1103,0.02,0.21,24.1,63.28,1
12,27,13,1122,0.02,0.21,24.09,63.28,1
12,27,13,1138,0.02,0.21,24.08,63.55,1
17,27,18,1156,0.02,0.21,24.06,63.62,1
12,27,13,1167,0.02,0.22,24.06,63.55,1
14,27,15,1175,0.02,0.21,24.04,63.58,1
13,27,14,1188,0.02,0.21,24.04,63.58,1
13,27,14,1198,0.01,0.22,24.02,63.58,1
11,27,12,1209,0.02,0.21,24.04,63.45,1
12,27,13,1221,0.01,0.21,24.01,63.31,1
11,27,12,1232,0.02,0.22,23.97,63.45,1
